
============================================================
  EVALUATION RESULTS
  Generated: 2026-05-27 12:42:58
============================================================

  PERFORMANCE METRICS
  ----------------------------------------
  Total Images Evaluated    : 100
  Correctly Classified      : 94
  Incorrectly Classified    : 6
  Accuracy                  : 94.0%
  Precision                 : 100.0%
  Recall                    : 88.0%
  F1-Score                  : 93.62%
  False Acceptance Rate     : 0.0%
  Avg Processing Time       : 18.26 ms per image

  CONFUSION MATRIX
  ----------------------------------------
                                  Predicted: Accepted  Predicted: Rejected
  Actual: Usable (Good/Mild)                  TP = 44               FN = 6
  Actual: Unusable (Mod/Sev)                   FP = 0              TN = 50

  GRADE DISTRIBUTION
  ----------------------------------------
  Grade          Ground Truth  System Assigned    Correct
  Good                     25               25         25
  Mild                     25               19         19
  Moderate                 25                6          0
  Severe                   25               50         25

  INDIVIDUAL RESULTS
  ----------------------------------------
  File                                           True   Score Grade      Decision    Match
  source_001_good.jpg                            good   90.12 Good       accepted      YES
  source_002_good.jpg                            good   92.06 Good       accepted      YES
  source_003_good.jpg                            good   90.39 Good       accepted      YES
  source_004_good.jpg                            good   87.93 Good       accepted      YES
  source_005_good.jpg                            good   91.12 Good       accepted      YES
  source_006_good.jpg                            good   89.65 Good       accepted      YES
  source_007_good.jpg                            good   88.25 Good       accepted      YES
  source_008_good.jpg                            good   91.21 Good       accepted      YES
  source_009_good.jpg                            good   89.44 Good       accepted      YES
  source_010_good.jpg                            good   88.29 Good       accepted      YES
  source_011_good.jpg                            good   90.14 Good       accepted      YES
  source_012_good.jpg                            good   90.10 Good       accepted      YES
  source_013_good.jpg                            good   87.93 Good       accepted      YES
  source_014_good.jpg                            good   92.00 Good       accepted      YES
  source_015_good.jpg                            good   90.77 Good       accepted      YES
  source_016_good.jpg                            good   89.61 Good       accepted      YES
  source_017_good.jpg                            good   89.05 Good       accepted      YES
  source_018_good.jpg                            good   89.70 Good       accepted      YES
  source_019_good.jpg                            good   90.05 Good       accepted      YES
  source_020_good.jpg                            good   89.46 Good       accepted      YES
  source_021_good.jpg                            good   87.12 Good       accepted      YES
  source_022_good.jpg                            good   90.34 Good       accepted      YES
  source_023_good.jpg                            good   89.29 Good       accepted      YES
  source_024_good.jpg                            good   89.43 Good       accepted      YES
  source_025_good.jpg                            good   89.75 Good       accepted      YES
  source_001_mild.jpg                            mild   51.24 Mild       accepted      YES
  source_002_mild.jpg                            mild   54.12 Mild       accepted      YES
  source_003_mild.jpg                            mild   52.11 Mild       accepted      YES
  source_004_mild.jpg                            mild   48.88 Moderate   rejected       NO
  source_005_mild.jpg                            mild   51.78 Mild       accepted      YES
  source_006_mild.jpg                            mild   51.15 Mild       accepted      YES
  source_007_mild.jpg                            mild   47.90 Moderate   rejected       NO
  source_008_mild.jpg                            mild   51.89 Mild       accepted      YES
  source_009_mild.jpg                            mild   51.04 Mild       accepted      YES
  source_010_mild.jpg                            mild   49.57 Moderate   rejected       NO
  source_011_mild.jpg                            mild   51.36 Mild       accepted      YES
  source_012_mild.jpg                            mild   51.23 Mild       accepted      YES
  source_013_mild.jpg                            mild   47.53 Moderate   rejected       NO
  source_014_mild.jpg                            mild   52.84 Mild       accepted      YES
  source_015_mild.jpg                            mild   52.05 Mild       accepted      YES
  source_016_mild.jpg                            mild   51.46 Mild       accepted      YES
  source_017_mild.jpg                            mild   49.64 Moderate   rejected       NO
